Taxon,RL,A,B,R,AL,BM,NV,SV,PA,V,nT,oT,S,K,St,O,N,W,B_duplicated_0,VA,Areal,LD
Knäuel-Glockenblume,,,,,,,,,,,,,,,,,,,,,,
Campanula latifolia,NT,2,0,-1,●,n,n,n,n,●,●,●,●,●,●,e,●,u,,,Euras,S
Breitblättrige Glockenblume,,,,,,,,,,,,,,,,,,,,,,
Campanula moravica,NT,2,0,-1,●,●,,,●,,?,,,?,?,,●,●,?,,Eur,S
Inkl. subsp. xylorrhiza,Aus Österreich ist nur der hexaploide Typ nachgewiesen.,,,,,,,,,,,,,,,,,,,,,
(C. rotundifolia agg.),,,,,,,,,,,,,,,,,,,,,,
Mährische Glockenblume,,,,,,,,,,,,,,,,,,,,,,
Campanula patula subsp. jahorinae,LC,3,0,-1,●,VU,VU,,,●,●,●,●,●,●,●,●,,,,Eur,H
Jahorina-Wiesen-Glockenblume,,,,,,,,,,,,,,,,,,,,,,
Campanula patula subsp. patula,NT,5,-3,-2,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,,Eur,H
Gewöhnliche Wiesen-Glockenblume,"Aus vielen Wiesen verschwunden, Restvorkommen an Straßenböschungen, Waldrändern usw.",,,,,,,,,,,,,,,,,,,,,
Campanula persicifolia,LC,4,0,-1,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,,Eur (Hol),S
"Pfirsichblättrige Glockenblume, Wald-G.",,,,,,,,,,,,,,,,,,,,,,
Campanula praesignis,NT,2,0,-1,●,,,,,,,,,,●,,●,,,E,NE-Alp!,S
(C. rotundifolia agg.),"Endemit. Nordöstlichste Alpen, vom südlichen Wienerwald bis ins Semmeringgebiet.",,,,,,,,,,,,,,,,,,,,,
Rax-Glockenblume,,,,,,,,,,,,,,,,,,,,,,
Campanula pulla,LC,3,0,0,●,,,,,,,,●,●,●,●,●,,,E,NE-Alp!,S
Dunkle Glockenblume,,,,,,,,,,,,,,,,,,,,,,
Campanula rapunculoides,LC,5,0,0,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,,Eur (Kosm),S
Acker-Glockenblume,,,,,,,,,,,,,,,,,,,,,,
Campanula rapunculus,EN,1,-1,-1,,,n,,●,u,,,–,,,u,†,†,●,,Eur,H
Rapunzel-Glockenblume,"Hapaxanth, Populationsgröße stark schwankend. Am Hackelsberg 2018 mehrere tausend Exemplare, am benachbarten Jungerberg zumindest fünfzig (G. Kniely, pers. Mitt.).",,,,,,,,,,,,,,,,,,,,,
Campanula rhomboidalis,n,,,,,,,,,u,,u,,,le,le,,,,,,S
Rhomben-Glockenblume,,,,,,,,,,,,,,,,,,,,,,
Campanula rotundifolia s.str.,LC,5,-1,-1,●,NT,VU,VU,VU,●,●,●,●,●,●,●,●,●,●,,Hol,S
(C. rotundifolia agg.),,,,,,,,,,,,,,,,,,,,,,
Rundblättrige Glockenblume,,,,,,,,,,,,,,,,,,,,,,
Campanula scheuchzeri,LC,4,0,0,●,,n,,,●,●,●,●,●,●,●,●,,,,Eur,S
(C. rotundifolia agg.),,,,,,,,,,,,,,,,,,,,,,
Scheuchzer-Glockenblume,,,,,,,,,,,,,,,,,,,,,,
Campanula sibirica,VU,2,-1,-1,●,,,,●,,,,,,,–,●,†,●,,Euras,H
Steppen-Glockenblume,"Rückgang durch Aufgabe der Beweidung und damit Verlust offener Standorte. An der Thermenlinie Erholung der Bestände durch Beweidung (N. Sauberer, pers. Mitt.).",,,,,,,,,,,,,,,,,,,,,
Campanula spicata,VU,2,-1,-1,●,,,,,,●,●,,●,,,,,,,Eur,H
Ähren-Glockenblume,,,,,,,,,,,,,,,,,,,,,,
Campanula thyrsoides,LC,3,0,0,●,,,,,●,●,●,●,●,●,–,●,,,,Eur,H
Inkl. subsp. carniolica,Die Verbreitung der Unterarten ist in Österreich noch nicht ausreichend geklärt.,,,,,,,,,,,,,,,,,,,,,
Strauß-Glockenblume,,,,,,,,,,,,,,,,,,,,,,
Campanula trachelium,LC,5,0,0,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,,Euras (Hol),S
Nessel-Glockenblume,,,,,,,,,,,,,,,,,,,,,,
Campanula witasekiana,NT,3,-1,-1,●,,,,,,,,,●,●,?,●,,,,Eur,S
(C. rotundifolia agg.),An Wiesenstandorten in der Montanstufe leicht rückläufig.,,,,,,,,,,,,,,,,,,,,,
Witasek-Glockenblume,,,,,,,,,,,,,,,,,,,,,,
Campanula zoysii,LC,2,0,0,●,,,,,,,,,●,,,,,,,SE-Alp,S
Zois-Glockenblume,"Art der FFH-Richtlinie, Anhang II und IV.",,,,,,,,,,,,,,,,,,,,,
Camphorosma annua,EN,1,-1,-1,,,,,●,,,,,,,,,,●,,Eur,H
Einjähriges Kampferkraut,In jüngster Vergangenheit wieder Zunahme durch Beweidung.,,,,,,,,,,,,,,,,,,,,,
Cannabis sativa,LC,3,0,0,n,n,n,n,●,u,u,u,u,u,u,u,●,●,●,,Kosm,H
Inkl. var. spontanea,,,,,,,,,,,,,,,,,,,,,,
Hanf,,,,,,,,,,,,,,,,,,,,,,
Capsella bursa-pastoris,LC,5,0,0,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,,Kosm,H
Gewöhnliches Hirtentäschel,,,,,,,,,,,,,,,,,,,,,,
Cardamine alpina,LC,3,0,0,●,,,,,●,●,●,●,●,●,–,●,,,,Eur,S
Alpen-Schaumkraut,,,,,,,,,,,,,,,,,,,,,,
Cardamine amara subsp. amara,LC,4,-1,-1,●,●,●,●,●,,●,?,,,●,,●,●,●,,Eur,S
Tiefländisches Bitteres Schaumkraut,,,,,,,,,,,,,,,,,,,,,,
Cardamine amara subsp. austriaca,LC,4,0,0,●,●,●,,,●,●,●,●,●,●,●,●,,,,Eur,S
Österreichisches Bitteres Schaumkraut,,,,,,,,,,,,,,,,,,,,,,
Cardamine bulbifera,LC,4,-1,0,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,,Eur,S
Syn. Dentaria bulbifera,,,,,,,,,,,,,,,,,,,,,,
Zwiebel-Zahnwurz,,,,,,,,,,,,,,,,,,,,,,
Cardamine dentata,G,?,?,?,●,●,●,●,●,?,?,–,●,●,–,●,●,●,?,,Hol,S
(C. pratensis agg.),Verbeitung unvollständig bekannt.,,,,,,,,,,,,,,,,,,,,,
Gezähntes Wiesen-Schaumkraut,,,,,,,,,,,,,,,,,,,,,,
Cardamine enneaphyllos,LC,4,0,-1,●,●,●,VU,●,,●,●,●,●,●,●,●,●,●,,Eur,S
Syn. Dentaria enneaphyllos,,,,,,,,,,,,,,,,,,,,,,
Neunblättrige Zahnwurz,,,,,,,,,,,,,,,,,,,,,,
Cardamine flexuosa,LC,4,0,0,●,●,●,●,VU,●,●,–,●,●,●,●,●,●,●,,Euras (Kosm),H
Wald-Schaumkraut,Selten auch ruderal.,,,,,,,,,,,,,,,,,,,,,
Cardamine glanduligera,n,,,,,,,,,,,,,,le,u,,,,,,S
Syn. Dentaria glandulosa,,,,,,,,,,,,,,,,,,,,,,
Ausläufer-Zahnwurz,,,,,,,,,,,,,,,,,,,,,,
Cardamine hirsuta,LC,4,+1,0,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,,Eur (Kosm),H
Ruderal-Schaumkraut,,,,,,,,,,,,,,,,,,,,,,
Cardamine impatiens,LC,5,0,0,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,,Euras (Hol),H
Spring-Schaumkraut,,,,,,,,,,,,,,,,,,,,,,
Cardamine kitaibelii,VU,1,0,-1,●,,,,,●,●,,,,,,,,,,Eur,S
Syn. Dentaria polyphylla,,,,,,,,,,,,,,,,,,,,,,
Vielblättrige Zahnwurz,,,,,,,,,,,,,,,,,,,,,,
Cardamine majovskii,G,1,?,?,,,,●,,,,,,,?,,,,●,,Eur,S
(C. pratensis agg.),,,,,,,,,,,,,,,,,,,,,,
Majovský-Wiesen-Schaumkraut,,,,,,,,,,,,,,,,,,,,,,
Cardamine matthioli,VU,2,-1,-1,●,,,●,●,–,–,–,,●,●,?,●,●,●,,Eur,S
(C. pratensis agg.),,,,,,,,,,,,,,,,,,,,,,
Mattioli-Wiesen-Schaumkraut,,,,,,,,,,,,,,,,,,,,,,
Cardamine occulta,n,,,,,,,,,le,u,u,u,u,u,u,u,u,,,,H
"Syn. C. flexuosa subsp. debilis, C. hamiltonii",,,,,,,,,,,,,,,,,,,,,,
Ostasiatisches Reisfeld-Schaumkraut,,,,,,,,,,,,,,,,,,,,,,
Cardamine parviflora,EN,1,-1,-1,,,n,,●,,,,,,,u,●,u,†?,,Hol,H
Kleinblütiges Schaumkraut,,,,,,,,,,,,,,,,,,,,,,
Cardamine pentaphyllos,LC,3,0,0,●,,,,,●,●,●,,●,,,,,,,Eur,S
Syn. Dentaria pentaphyllos,,,,,,,,,,,,,,,,,,,,,,
"Finger-Zahnwurz, Fünfblättrige Z.",,,,,,,,,,,,,,,,,,,,,,
Cardamine pratensis s.str.,NT,4,-2,-1,●,●,●,●,VU,●,●,●,●,●,●,●,●,●,●,,Hol,S
Inkl. C. rivularis auct. und C. udicola,"Die Abtrennung einer ostalpinen Hochlagensippe, C. rivularis auct. austr., ist nach Marhold (1995) taxonomisch nicht begründbar.",,,,,,,,,,,,,,,,,,,,,
(C. pratensis agg.),,,,,,,,,,,,,,,,,,,,,,
Gewöhnliches Wiesen-Schaumkraut,,,,,,,,,,,,,,,,,,,,,,
Cardamine resedifolia,LC,4,0,0,●,,,,,●,●,●,●,●,●,●,●,,,,Eur,S
Reseda-Schaumkraut,,,,,,,,,,,,,,,,,,,,,,
Cardamine trifolia,LC,4,0,0,●,●,●,●,,●,●,,●,●,●,●,●,●,●,,Eur,S
Kleeblättriges Schaumkraut,,,,,,,,,,,,,,,,,,,,,,
Cardamine waldsteinii,VU,2,-1,0,●,,,●,,,,,,†*,●,,,,,,Eur,S
Syn. Dentaria trifolia,,,,,,,,,,,,,,,,,,,,,,
Save-Zahnwurz,,,,,,,,,,,,,,,,,,,,,,
Cardaminopsis → Arabidopsis,,,,,,,,,,,,,,,,,,,,,,
Carduus acanthoides,LC,4,-1,0,●,●,VU,VU,●,u,●,●,●,●,●,●,●,●,●,,Eur,H
Weg-Ringdistel,"Im westlichen Alpengebiet, mit Ausnahme Osttirols, stark gefährdet.",,,,,,,,,,,,,,,,,,,,,
Carduus carduelis,LC,2,0,0,●,,,,,,,,–,●,,,,,,,Eur,S
Stieglitz-Ringdistel,,,,,,,,,,,,,,,,,,,,,,
Carduus crispus,LC,4,0,0,●,●,●,●,●,●,●,†,●,?,●,●,●,●,●,,Euras (Hol),H
Krause Ringdistel,Im Süden Österreichs teilweise nur unbeständig.,,,,,,,,,,,,,,,,,,,,,
Carduus defloratus s.lat.,,,,,,,,,,,,,,,,,,,,,,
Berg-Ringdistel i. w. S.,,,,,,,,,,,,,,,,,,,,,,
Carduus defloratus subsp. glaucus,LC,2,0,0,●,,,,VU,,,–,,●,●,,●,●,,,Eur,S
"Syn. C. crassifolius subsp. glaucus, C. glaucinus",,,,,,,,,,,,,,,,,,,,,,
Blaugrüne Berg-Ringdistel,,,,,,,,,,,,,,,,,,,,,,
Carduus defloratus subsp. summanus,LC,3,0,0,●,,,,,●,●,●,●,●,●,,●,,,,Eur,S
Syn. C. crassifolius s.str.,Die Abgrenzung dieser Unterart ist nicht überall klar.,,,,,,,,,,,,,,,,,,,,,
Dickblättrige Berg-Ringdistel,,,,,,,,,,,,,,,,,,,,,,
Carduus defloratus subsp. tridentinus,LC,2,0,0,●,,,,,?,●,●,●,●,,,,,,,Alp,S
Syn. C. defloratus subsp. rhaeticus auct.,Die Abgrenzung dieser Unterart ist nicht überall klar.,,,,,,,,,,,,,,,,,,,,,
Trientiner Berg-Ringdistel,,,,,,,,,,,,,,,,,,,,,,
Carduus defloratus subsp. viridis,LC,4,0,0,●,,EN,,,●,●,●,●,●,●,●,●,,,,Eur,S
Syn. C. defloratus subsp. defloratus auct.,,,,,,,,,,,,,,,,,,,,,,
Grüne Berg-Ringdistel,,,,,,,,,,,,,,,,,,,,,,
Carduus nutans,NT,3,-1,-1,VU,●,EN,VU,●,●,●,●,u,●,●,●,●,●,●,,Euras (Kosm),H
Inkl. subsp. platylepis,Im Alpengebiet im Einzugsgebiet des Rheins vom Aussterben bedroht (Amann 2016). In der Böhmischen Masse nur mehr am Ostrand.,,,,,,,,,,,,,,,,,,,,,
Nickende Ringdistel,,,,,,,,,,,,,,,,,,,,,,
Carduus personata,LC,4,0,0,●,●,●,NT,,●,●,●,●,●,●,●,●,,,,Eur,H
Kletten-Ringdistel,,,,,,,,,,,,,,,,,,,,,,
Carex acuta,VU,3,-2,-1,●,●,●,●,●,●,●,?,●,●,●,●,●,●,●,,Euras,S
Syn. C. gracilis,Verwechslungsträchtige Art.,,,,,,,,,,,,,,,,,,,,,
"Schlank-Segge, Spitz-S.",,,,,,,,,,,,,,,,,,,,,,
Carex acutiformis,NT,4,-2,-1,●,VU,●,●,●,●,●,●,●,●,●,●,●,●,●,,Euras,S
Sumpf-Segge,,,,,,,,,,,,,,,,,,,,,,
Carex alba,LC,4,0,0,●,VU,●,EN,●,●,●,●,●,●,●,●,●,●,●,,Euras,S
Weiß-Segge,,,,,,,,,,,,,,,,,,,,,,
Carex agastachys → C. pendula s.lat.,,,,,,,,,,,,,,,,,,,,,,
Carex appropinquata,EN,2,-2,-1,●,●,●,CR,CR,●,●,,●,●,●,●,●,†,●,,Euras,S
Wunder-Segge,,,,,,,,,,,,,,,,,,,,,,
Carex aterrima,LC,3,0,0,●,,,,,●,●,●,●,●,●,●,,,,,Euras,S
(C. atrata agg.),,,,,,,,,,,,,,,,,,,,,,
Kohlschwarze Segge,,,,,,,,,,,,,,,,,,,,,,
Carex atrata s.str.,LC,4,0,0,●,,,,,●,●,●,●,●,●,●,●,,,,Hol,S
(C. atrata agg.),,,,,,,,,,,,,,,,,,,,,,
"Trauer-Segge, Schwarze S.",,,,,,,,,,,,,,,,,,,,,,
Carex atrofusca,EN,1,-1,-1,●,,,,,,●,●,●,●,?,,,,,V,Hol,S
Schwarzrote Segge,"Bei einem historischen Herbarbeleg von der steirischen Seite des Warschenecks (Totes Gebirge, 19. Jh.; vgl. Wallnöfer 2006) könnte eine Fundortsverwechslung unterlaufen sein.",,,,,,,,,,,,,,,,,,,,,
Carex baldensis,VU,1,0,-1,●,,,,,,●,,,,,,,,,D,E-Alp,S
Monte-Baldo-Segge,,,,,,,,,,,,,,,,,,,,,,
Carex bebbii,n,,,,,,,,,,le?,,,,,,?,–,,,,S
Bebb-Segge,,,,,,,,,,,,,,,,,,,,,,
Carex bicolor,VU,2,-1,0,●,,,,,,●,●,●,●,,,,,,,Hol,S
Zweifarbige Segge,,,,,,,,,,,,,,,,,,,,,,
Carex bigelowii subsp. dacica,VU,1,0,-1,●,,,,,,,,†,●,●,,,,,D,Eur,S
Starre Segge,,,,,,,,,,,,,,,,,,,,,,
Carex bohemica,EN,2,-2,-2,●,●,CR,●,RE,,,,,●,●,●,●,u,†,,Euras,H
Böhmische Segge,,,,,,,,,,,,,,,,,,,,,,
Carex brachystachys,LC,4,0,0,●,,CR,,,●,●,●,●,●,●,●,●,,,,Eur,S
Kurzährige Segge,,,,,,,,,,,,,,,,,,,,,,
Carex brizoides,LC,5,-1,-1,●,●,●,●,VU,●,●,●,●,●,●,●,●,●,●,,Eur,S
Seegras-Segge,,,,,,,,,,,,,,,,,,,,,,
Carex brunnescens,LC,4,0,0,●,,,,,●,●,●,●,●,●,●,,,,,Hol,S
Inkl. var. laetior,,,,,,,,,,,,,,,,,,,,,,
(C. canescens agg.),,,,,,,,,,,,,,,,,,,,,,
Bräunliche Segge,,,,,,,,,,,,,,,,,,,,,,
Carex buekii,NT,3,-1,-1,EN,●,,●,EN,,,,,●,●,●,●,le?,●,,Eur,S
Banater Segge,,,,,,,,,,,,,,,,,,,,,,
Carex buxbaumii s.str.,EN,2,-2,-2,●,,CR,,CR,●,●,,●,●,,●,●,,●,,Hol,S
(C. buxbaumii agg.),"Das österreichische Areal der seltenen Art anmooriger Feuchtwiesen scheint kaum eingeengt, die Populationen sind aber sehr klein.",,,,,,,,,,,,,,,,,,,,,
"Moor-Segge, Buxbaum-S.",,,,,,,,,,,,,,,,,,,,,,
Carex canescens s.str.,LC,4,-1,-1,●,VU,VU,CR,,●,●,●,●,●,●,●,●,,●,,Kosm,S
(C. canescens agg.),In den Tieflagen der Alpen starker Rückgang und gefährdet.,,,,,,,,,,,,,,,,,,,,,
Grau-Segge,,,,,,,,,,,,,,,,,,,,,,
Carex capillaris,LC,4,0,0,●,,,,,●,●,●,●,●,●,●,●,,,,Hol,S
Haarstiel-Segge,,,,,,,,,,,,,,,,,,,,,,
Carex capitata,RE,†,†,†,RE,,,,,,†,,,,,,,,,,Kosm,S
Kopf-Segge,Das letzte österreichische Vorkommen in einem Flachmoor bei Nauders wurde 1980 das letzte Mal beobachtet. Bei Seefeld schon lange erloschen.,,,,,,,,,,,,,,,,,,,,,
Carex caryophyllea,LC,5,-2,-1,●,NT,NT,NT,NT,●,●,●,●,●,●,●,●,●,●,,Euras,S
Frühlings-Segge,,,,,,,,,,,,,,,,,,,,,,
Carex cespitosa,VU,2,-1,-1,●,●,EN,●,CR,,,,●,●,●,●,●,,●,,Euras,S
Rasen-Segge,,,,,,,,,,,,,,,,,,,,,,
Carex chordorrhiza,CR,1,-3,-2,●,RE?,●,,,●,●,,●,●,●,●,●,,,,Hol,S
Strick-Segge,Seit jeher seltene Art von Zwischenmooren und Schwingrasen.,,,,,,,,,,,,,,,,,,,,,
Carex curvata,VU,2,-1,-1,●,●,G,●,●,,,,,,u,●,●,●,●,,Eur,S
(C. praecox agg.),Die Verbreitung in Österreich ist unzureichend bekannt.,,,,,,,,,,,,,,,,,,,,,
Bogen-Segge,,,,,,,,,,,,,,,,,,,,,,
Carex curvula subsp. curvula,LC,3,0,0,●,,,,,●,●,●,●,●,●,?,,,,,Eur,S
Silikat-Krumm-Segge,,,,,,,,,,,,,,,,,,,,,,
Carex curvula subsp. rosae,LC,2,0,0,●,,,,,,●,●,●,●,,,,,,,Eur,S
Kalk-Krumm-Segge,,,,,,,,,,,,,,,,,,,,,,
Carex davalliana,NT,4,-2,-1,●,EN,EN,CR,CR,●,●,●,●,●,●,●,●,●,●,,Eur,S
Davall-Segge,"Standorte wegen Entwässerung, Nährstoffeintrag, Verbrachung und Unterwanderung durch Torfmoose vor allem in Tieflagen weiterhin im Rückgang.",,,,,,,,,,,,,,,,,,,,,
Carex demissa,VU,3,-2,-2,●,●,G,G,?,●,●,●,●,●,●,●,●,●,●,,Eur (Kosm),S
Syn. C. tumidicarpa,,,,,,,,,,,,,,,,,,,,,,
(C. flava agg.),,,,,,,,,,,,,,,,,,,,,,
Verkannte Gelb-Segge,,,,,,,,,,,,,,,,,,,,,,
Carex depressa subsp. transsilvanica,VU,1,0,-1,,,,●,,,,,,,●,,,,●,,Eur,S
Syn. C. transsilvanica,"Die meisten Vorkommen gibt es noch, auch einige neuere Funde. Gefährdungsursachen sind die Veränderungen der Säume und Wiesen in Waldrandlage.",,,,,,,,,,,,,,,,,,,,,
Siebenbürger Segge,,,,,,,,,,,,,,,,,,,,,,
Carex diandra,EN,3,-3,-2,●,CR,CR,RE,,●,●,●,●,●,●,●,●,,†,,Kosm,S
Draht-Segge,"Charakterart naturschutzfachlich hochwertiger Nieder- und Übergangsmoore. Große Vorkommen sind meist geschützt, viele kleine Restpopulationen sind aber hochgradig bedroht.",,,,,,,,,,,,,,,,,,,,,
Carex digitata,LC,5,-1,0,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,,Eur,S
Finger-Segge,Außer Carex digitata s.str. wird aus Österreich auch C. pallidula angegeben (Koopman & al. 2016). Ihr taxonomischer Wert ist allerdings umstritten.,,,,,,,,,,,,,,,,,,,,,
Carex dioica,VU,3,-2,-2,●,CR,CR,,,●,●,●,●,●,●,●,●,,,,Euras,S
Zweihäusige Segge,Inneralpin in den Hochlagen noch stabile Populationen.,,,,,,,,,,,,,,,,,,,,,
Carex distans,VU,3,-2,-1,●,RE,●,●,●,●,●,●,●,●,●,●,●,●,●,,Euras,S
Lücken-Segge,,,,,,,,,,,,,,,,,,,,,,
Carex disticha,VU,3,-2,-2,EN,CR,●,RE?,●,●,●,,●,,●,●,●,●,●,,Euras,S
Kamm-Segge,,,,,,,,,,,,,,,,,,,,,,
Carex divisa,EN,2,-2,-2,,,,,●,,,,,,?,–,●,●,●,,Euras (Kosm),S
Knopfbinsen-Segge,,,,,,,,,,,,,,,,,,,,,,
Carex divulsa,LC,2,0,0,●,●,●*,●,●,?,,,e?,–,●,e?,●,●,●,,Euras (Kosm),S
(C. muricata agg.),,,,,,,,,,,,,,,,,,,,,,
Lockerährige Stachel-Segge,,,,,,,,,,,,,,,,,,,,,,
Carex echinata,LC,5,-1,-1,●,VU,VU,CR,,●,●,●,●,●,●,●,●,?,●,,Hol,S
"Igel-Segge, Stern-S.",,,,,,,,,,,,,,,,,,,,,,
Carex elata,NT,4,-2,-1,●,VU,●,●,VU,●,●,●,●,●,●,●,●,●,●,,Eur,S
Steif-Segge,,,,,,,,,,,,,,,,,,,,,,
Carex elongata,VU,3,-2,-1,●,●,●,●,,●,●,,●,●,●,●,●,,●,,Euras,S
Walzen-Segge,Im westlichen und nördlichen Alpengebiet stark gefährdet.,,,,,,,,,,,,,,,,,,,,,
Carex ericetorum,NT,3,-1,0,●,RE,RE?,,CR,†,●,●,●,●,●,●,●,,●,,Euras,S
Heide-Segge,In den Hochlagen weitgehend ungefährdet. In Tieflagen hochgradig gefährdet bzw. bereits erloschen.,,,,,,,,,,,,,,,,,,,,,
Carex ferruginea,LC,4,0,0,●,f,,,,●,●,●,●,●,●,●,●,,,,Eur,S
Rost-Segge,In der Böhmischen Masse nur als Alpenschwemmling bei Wernstein am Inn (Hohla 2013).,,,,,,,,,,,,,,,,,,,,,
Carex firma,LC,4,0,0,●,,,,,●,●,●,●,●,●,●,●,,,,Eur,S
Polster-Segge,,,,,,,,,,,,,,,,,,,,,,
Carex flacca,LC,5,-1,-1,●,VU,NT,NT,NT,●,●,●,●,●,●,●,●,●,●,,Euras (Kosm),S
Blaugrüne Segge,,,,,,,,,,,,,,,,,,,,,,
Carex flava s.str.,LC,5,-1,-1,●,VU,VU,VU,EN,●,●,●,●,●,●,●,●,●,●,,Hol,S
(C. flava agg.),,,,,,,,,,,,,,,,,,,,,,
Große Gelb-Segge,,,,,,,,,,,,,,,,,,,,,,
Carex foetida,VU,1,0,-1,●,,,,,,,,,,●,,,,,,Eur,S
"Stink-Segge, Schneetälchen-S.",Bedroht durch Klimwandel: bei kürzerer Dauer der Schneebedeckung können sich Schneetälchen zu Krummseggenrasen entwickeln.,,,,,,,,,,,,,,,,,,,,,
Carex frigida,LC,4,0,0,●,,,,,●,●,●,●,●,●,–,,,,,Eur,S
Kälte-Segge,,,,,,,,,,,,,,,,,,,,,,
Carex fritschii,CR,1,-2,-2,●,,,●,●,,,,,●,,,,,●,,Eur,S
Fritsch-Segge,Seltene Art trockenwarmer Laub- oder Föhrenwälder.,,,,,,,,,,,,,,,,,,,,,
Carex fuliginosa,LC,3,0,0,●,,,,,,●,●,●,●,●,●,,,,,Eur,S
Ruß-Segge,,,,,,,,,,,,,,,,,,,,,,
Carex gracilis → C. acuta,,,,,,,,,,,,,,,,,,,,,,
Carex guestphalica → C. polyphylla,,,,,,,,,,,,,,,,,,,,,,
Carex halleriana,LC,2,0,0,●,,,,●,,,,,,,†,●,●,,,Eur,S
Haller-Segge,,,,,,,,,,,,,,,,,,,,,,
Carex hartmaniorum,EN,2,-2,-2,●,●,CR,RE?,,†,●,●,●,●,●,●,●,,†?,,Euras,S
Syn. C. hartmanii,,,,,,,,,,,,,,,,,,,,,,
(C. buxbaumii agg.),,,,,,,,,,,,,,,,,,,,,,
Hartman-Segge,,,,,,,,,,,,,,,,,,,,,,
Carex heleonastes,CR,1,-3,-3,●,,RE,,,†?,†?,,†,,†?,●,●,,,,Hol,S
"Schlenken-Segge, Torf-S.",Sehr seltene Art von Zwischenmooren.,,,,,,,,,,,,,,,,,,,,,
Carex hirta,LC,5,0,0,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,,Eur (Hol),S
Rauhaarige Segge,,,,,,,,,,,,,,,,,,,,,,
Carex hordeistichos,EN,2,-2,-1,●,,,,●,,,,,†,u,–,●,●,●,,Eur,S
Gersten-Segge,Im Alpengebiet nur am Nordostrand.,,,,,,,,,,,,,,,,,,,,,
Carex hostiana,VU,3,-2,-2,●,RE?,EN,CR,CR,●,●,●,●,●,●,●,●,●,●,,Hol,S
Saum-Segge,,,,,,,,,,,,,,,,,,,,,,
Carex humilis,LC,4,-1,-1,●,VU,EN,EN,●,●,●,●,●,●,●,●,●,●,●,,Euras,S
Erd-Segge,Im Pannonikum abseits der Kalkhügelländer gefährdet.,,,,,,,,,,,,,,,,,,,,,
Carex lachenalii,LC,3,0,0,●,,,,,●,●,●,●,●,●,,,,,,Hol,S
Schneehuhn-Segge,,,,,,,,,,,,,,,,,,,,,,
Carex lasiocarpa,EN,3,-3,-2,●,●,●,CR,CR,●,●,?,●,●,●,●,●,,●,,Hol,S
Faden-Segge,,,,,,,,,,,,,,,,,,,,,,
Carex leersii → C. polyphylla,,,,,,,,,,,,,,,,,,,,,,
Carex lepidocarpa,NT,4,-2,-2,●,EN,●,EN,CR,●,●,●,●,●,●,●,●,●,●,,Hol,S
(C. flava agg.),,,,,,,,,,,,,,,,,,,,,,
Mittlere Gelb-Segge,,,,,,,,,,,,,,,,,,,,,,
Carex leporina,LC,5,0,0,●,●,●,●,VU,●,●,●,●,●,●,●,●,●,●,,Eur (Kosm),S
Hasen-Segge,,,,,,,,,,,,,,,,,,,,,,
Carex limosa,VU,3,-2,-1,●,CR,CR,,,●,●,●,●,●,●,●,●,,,,Hol,S
Schlamm-Segge,,,,,,,,,,,,,,,,,,,,,,
Carex liparocarpos,VU,2,-1,-1,RE?,,RE,,●,,†,†,,●,–,†,●,●,●,,Eur,S
Glanz-Segge,,,,,,,,,,,,,,,,,,,,,,
Carex maritima,CR,1,-3,-3,●,,,,,–,†,–,,,●,–,,,,D,Hol,S
Simsen-Segge,"Rezent eine kleine Population auf Rohhumusansammlung in einer Senke auf dem Plateau des Toten Gebirges (Diewald & al. 2005). In Nordtirol ehemals Alpenschwemmling aus dem Engadin, heute verschollen.",,,,,,,,,,,,,,,,,,,,,
Carex melanostachya,EN,2,-2,-1,,,,n,●,,,,,,u,–,●,●,●,,Euras,S
Nickende Segge,,,,,,,,,,,,,,,,,,,,,,
Carex michelii,NT,3,-1,-1,●,VU,VU,EN,●,,,,,●,●,●,●,●,●,,Eur,S
Micheli-Segge,Im Alpengebiet abseits des Alpenostrandes gefährdet.,,,,,,,,,,,,,,,,,,,,,
Carex microglochin,EN,1,-1,-1,●,,RE,,,,●,,†,,●,–,,,,,Kosm,S
Grannen-Segge,,,,,,,,,,,,,,,,,,,,,,
Carex montana,LC,4,-1,-1,NT,VU,VU,NT,●,●,●,●,●,●,●,●,●,●,●,,Euras,S
Berg-Segge,,,,,,,,,,,,,,,,,,,,,,
Carex mucronata,LC,4,0,0,●,,,,,●,●,●,●,●,●,●,●,,,,Eur,S
Stachelspitzige Segge,,,,,,,,,,,,,,,,,,,,,,
Carex muricata s.strictiss.,LC,4,0,0,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,,Euras,S
(C. muricata agg.),,,,,,,,,,,,,,,,,,,,,,
"Eigentliche Stachel-S., Sparrige S.",,,,,,,,,,,,,,,,,,,,,,
Carex myosuroides,LC,4,0,0,●,,,,,●,●,●,●,●,●,●,,,,,Hol,S
